signal_id	project	session	agent_type	keyword	matches_in_window	has_trace	trace_signal_types	output_text_len	match_offset	snippet	your_label
S0014	-home-fdpearce-Documents-Projects-git-agentfluent	ca3d881d-9932-45ed-b6de-6d13d3a01ee9.jsonl	pm	blocked	1	true	retry_loop,tool_error_sequence	4040	22	The memory writes are blocked by the PM agent's write scope restriction (limited to `.claude/specs/` and `docs/`). That's expected -- the parent agent can persist those memories if needed. Both spec files are written and ready for review. Here is the summary of what was produce	
S0011	-home-fdpearce-Documents-Projects-git-agentfluent	e175c382-08d1-41f2-9725-5a4906bdfce6.jsonl	general-purpose	error	1	true		2502	122	## Efficiency review of PR #251 **Per-cluster cost.** The new path makes 4 passes over members (tool_uses, total_tokens, error_rates, optional has_writes), versus pre-#185's effectively 1 pass + a frozenset intersection. For typical clusters of 5-50 members, this is a few hundred attribute reads — negligible. All passes are O(N) with tiny constants; no allocations in inner	
S0012	-home-fdpearce-Documents-Projects-git-agentfluent	e175c382-08d1-41f2-9725-5a4906bdfce6.jsonl	general-purpose	error	1	true		6739	119	`get_pricing` takes `str` — so the empty-string sentinel matches the signature. Calling `get_pricing(None)` would type-error. The defensive `if parent_model else None` short-circuits before the call. The code path is type-correct, though `None` would be cleaner if `get_pricing` accepted `str | None`. Now I have enough to write the review. --- # Code Quality Review: PR	
S0010	-home-fdpearce-Documents-Projects-git-agentfluent	fd25efb7-3af3-44a8-bf13-e7839165b072.jsonl	architect	error	1	true	retry_loop	1625	151	Review posted. Here is the summary: --- **Blocking (1):** - **Exit code `EXIT_REGRESSION = 3`** — Confirmed correct. The existing invariant (`1=user-error, 2=no-data`) must not be overloaded. Document the full contract in `exit_codes.py` docstring and the `diff --help` epilog before implementing; changing exit codes post-release breaks CI consumers. **Important (1):** - **Grouping key normalization**	
S0022	-home-fdpearce-Documents-Projects-git-codefluent-codefluent	13607e2a-ecf8-44fb-bac7-93f1c41af170.jsonl	Explore	error	1	true		10007	131	Perfect! Now I have a complete picture. Let me create a comprehensive report: ## COMPREHENSIVE INVESTIGATION REPORT: Issue #245 - Error Recovery Pattern Detection ### 1. DATA STRUCTURES & INTERFACES #### **Parser Types** (`vscode-extension/src/parser.ts`, lines 5-66) The parser defines core message structures that flow through the system: **ParsedSession** (lines 5-29): - Aggrega	
S0023	-home-fdpearce-Documents-Projects-git-codefluent-codefluent	13607e2a-ecf8-44fb-bac7-93f1c41af170.jsonl	Plan	error	1	true	retry_loop	16805	110	I now have a complete picture of the codebase. Here is the implementation plan. --- ## Implementation Plan: Error Recovery Pattern Detection (Issue #245) ### Design Decision: Option A -- Extend the Parser The central design question is where to extract tool_result error data. **Option A (extend the parser to stop skipping `tool_result` messages)** is the corr	
S0024	-home-fdpearce-Documents-Projects-git-codefluent-codefluent	13607e2a-ecf8-44fb-bac7-93f1c41af170.jsonl	pm	error	1	true		510	68	Here are the 3 most recent open issues: 1. **#249** — feat: detect error recovery patterns in conversation flow (PR) 2. **#248** — feat: normalize metrics by task type with contextual comparison display 3. **#247** — feat: formalize learning trajectory as computed metric with behavior acquisition curve All three are par	
S0025	-home-fdpearce-Documents-Projects-git-codefluent-codefluent	13607e2a-ecf8-44fb-bac7-93f1c41af170.jsonl	pm	error	1	true		511	68	Here are the 3 most recent open issues: 1. **#249** — feat: detect error recovery patterns in conversation flow (PR) 2. **#248** — feat: normalize metrics by task type with contextual comparison display 3. **#247** — feat: formalize learning trajectory as computed metric with behavior acquisition curve All three are par	
S0026	-home-fdpearce-Documents-Projects-git-codefluent-codefluent	13607e2a-ecf8-44fb-bac7-93f1c41af170.jsonl	architect	not found	1	false		123	23	Agent type 'architect' not found. Available agents: general-purpose, statusline-setup, Explore, Plan, claude-code-guide, pm	
S0027	-home-fdpearce-Documents-Projects-git-codefluent-codefluent	13607e2a-ecf8-44fb-bac7-93f1c41af170.jsonl	Explore	error	1	true		8826	101	Perfect! Now I have all the information I need. Let me create a comprehensive report: ## CodeFluent Error Recovery Data State - Research Report ### 1. **webviewProvider.ts — Agent Metrics IPC Handler** **Location:** `/home/fdpearce/Documents/Projects/git/codefluent/codefluent/vscode-extension/src/webviewProvider.ts` **Lines 557-572:** The `handleGetA	
S0028	-home-fdpearce-Documents-Projects-git-codefluent-codefluent	13607e2a-ecf8-44fb-bac7-93f1c41af170.jsonl	general-purpose	error	1	true		2490	166	"Here are the findings: **1. Copy-paste with slight variation — two sparkline loops (within `renderAgentMetrics`)** The diff adds a second `items.forEach` loop for `error_recovery_weekly` sparklines that is described as ""SAME pattern as standard sparklines above."" The only difference between the two loops is the filter condition (`item.weeklySource` vs `!item.weeklySource`). Both iterate `items` and do identical Char"	
S0029	-home-fdpearce-Documents-Projects-git-codefluent-codefluent	13607e2a-ecf8-44fb-bac7-93f1c41af170.jsonl	general-purpose	error	1	true	tool_error_sequence	4102	99	Now I have enough context to give a complete review. --- **Findings:** **1. `conversations_with_errors` in `insertAdjacentHTML` — safe but not obviously so** At line 1861 (both files), `er.conversations_with_errors` is interpolated directly into an HTML string via `insertAdjacentHTML`. This value originates from `computeErrorRecoveryMetrics()` (TS)	
S0021	-home-fdpearce-Documents-Projects-git-codefluent-codefluent	5fa5f6f8-358a-4cd3-be08-0b4fa567aecd.jsonl	architect	error	1	true	retry_loop	1851	172	Review posted. Here is the summary: --- **Summary of findings for #312:** All 5 design decisions concur. No blocking concerns. Green light for Phase A. - **Decision 1 (error-path API testing):** Concur. Lowest complexity, genuine coverage, no prod code pollution. - **Decision 2 (data seeding via `CLAUDE_DATA_DIR`):** Concur with amendment. The env var already exists in `_resolve_data_dir()` (line 422 of `main.py`) -- no	
